Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Fernando Tatis Jr.","SDP",141,621,20,81,71,31,0.088566827,0.183574879,0.167870036,0.316901408,0.279783393,0.346774193,0.447653429,0.34463488929639985,0.37453523961509144,121.48900142470156,1.231643873732537,17.341315315568117,2.6180028915405273,4.084573594778865,"Fernando Tatis Jr.",19709,665487
"Seiya Suzuki","CHC",126,559,24,86,80,3,0.128801431,0.243291592,0.210416667,0.328173374,0.270833333,0.368515205,0.48125,0.3689399461488466,0.3387958237410452,135.72913693471344,-3.358894386794418,20.75199228155471,0.7480049133300781,4.036613491461934,"Seiya Suzuki",30116,673548
"Andy Pages","LAD",128,550,21,72,80,12,0.081818181,0.194545454,0.186612576,0.305405405,0.271805273,0.338181818,0.458417849,0.3464412772807484,0.3399412783985798,118.95958960013972,-1.0455139125697315,11.542884224859261,9.323998093605042,3.9423993069633037,"Andy Pages",24816,681624
"Pete Alonso","BAL",144,623,33,86,94,5,0.11235955,0.242375601,0.228200371,0.308333333,0.26716141,0.357945425,0.495361781,0.3678968548774719,0.39171974380295,139.94869973392866,-3.3317614677362144,25.52767396572207,-8.924270868301392,3.93617794595131,"Pete Alonso",19251,624413
"Willson Contreras","BOS",125,517,26,66,79,3,0.11025145,0.253384912,0.241935484,0.332142857,0.274193548,0.38372093,0.516129032,0.3900443133445102,0.3736012876033783,150.14284978432966,-3.3996462067589164,26.660887832309328,-6.616522789001465,3.9045794425525555,"Willson Contreras",11609,575929
"Ceddanne Rafaela","BOS",135,569,16,67,70,17,0.036906854,0.202108963,0.160747664,0.331695331,0.28224299,0.317460317,0.442990654,0.3300485299248577,0.28188085046951455,108.36885053602636,0.3128758817911148,5.83460648124987,12.332720398902893,3.9008309766150235,"Ceddanne Rafaela",24262,678882
"Brandon Lowe","PIT",134,587,29,84,83,2,0.091993185,0.291311754,0.223282443,0.317220543,0.25572519,0.323679727,0.479007633,0.34560410490215027,0.3227457943125668,114.83005062605406,0.33701077615842223,10.845967002315206,8.32328999042511,3.8917703613111323,"Brandon Lowe",18882,664040
"Shohei Ohtani","LAD",133,592,30,89,80,11,0.133445945,0.239864864,0.246492986,0.328313253,0.278557114,0.381355932,0.5250501,0.38287234036349255,0.4009984378848101,143.3250969051328,1.7619730262085795,32.724763769972846,-13.827159881591797,3.8806264740218275,"Shohei Ohtani",19755,660271
"Michael Harris II","ATL",137,546,24,67,80,10,0.036630036,0.199633699,0.204238921,0.326478149,0.290944123,0.318014705,0.495183044,0.3491747123540875,0.3415478639497088,120.42875347002304,-0.8912540399469435,12.573963011438616,7.739312291145325,3.872803307840153,"Michael Harris II",25931,671739
"Geraldo Perdomo","ARI",139,598,9,64,48,20,0.137123745,0.123745819,0.114688129,0.275534441,0.251509054,0.358714043,0.366197183,0.3275191286695387,0.3277429593663637,105.40407427273992,-0.6999843022786081,3.20124377727411,14.937488079071045,3.8231686613479186,"Geraldo Perdomo",22799,672695
"Max Muncy","LAD",131,490,26,71,68,2,0.122448979,0.251020408,0.237647059,0.288808664,0.249411764,0.346938775,0.487058823,0.36022158341152677,0.3490244547526042,128.17601430155224,0.493013652972877,17.159900511986987,4.328884840011597,3.8074799355249396,"Max Muncy",13301,571970
"Chase Meidroth","CHW",137,576,12,78,51,3,0.095486111,0.220486111,0.124260355,0.336927223,0.270216962,0.345614035,0.394477317,0.3297910761414913,0.29347851756604737,111.36092865118916,-0.052072309888899326,7.5360347864485275,7.255788326263428,3.58229924395908,"Chase Meidroth",31580,805367
"Isaac Paredes","HOU",137,582,18,58,79,0,0.104810996,0.130584192,0.162977867,0.269607843,0.257545271,0.357388316,0.420523138,0.3458617282487273,0.3187748673460438,123.39925916687957,-1.8270028214901686,13.96445512958851,0.44724470376968384,3.565211690696923,"Isaac Paredes",20036,670623
"Matt Olson","ATL",143,621,37,94,80,4,0.096618357,0.257648953,0.25945946,0.279778393,0.248648648,0.323671497,0.508108108,0.3549408864278298,0.35335976205221037,124.28523595027698,0.1183789698407054,18.324305076611836,-3.812657356262207,3.5297853145464817,"Matt Olson",14344,621566
"Wilyer Abreu","BOS",140,612,23,78,70,8,0.104575163,0.204248366,0.207476635,0.289340101,0.256074766,0.334975369,0.463551401,0.3447160215267647,0.34655083270112347,118.58156463406166,-1.123832443729043,12.062707007770229,0.2786860466003418,3.462492733177533,"Wilyer Abreu",23772,677800
"Ben Rice","NYY",137,591,36,89,88,3,0.120135363,0.247038917,0.265107212,0.291291291,0.259259259,0.353637901,0.524366471,0.37632244754284366,0.37566526757979146,143.67764015504218,-0.630621649324894,29.301932911385176,-16.657576084136963,3.4176623266804134,"Ben Rice",29576,700250
"Dansby Swanson","CHC",119,458,18,78,66,17,0.104803493,0.231441048,0.188585608,0.243816254,0.215880893,0.299781181,0.404466501,0.309365606673176,0.3057142753433026,95.885144449846,4.63730220682919,2.3622104320311457,16.227786540985107,3.406533344852671,"Dansby Swanson",18314,621020
"Bryce Harper","PHI",143,611,27,85,80,7,0.163666121,0.209492635,0.22862823,0.309859154,0.272365805,0.389525368,0.500994035,0.3853359479261072,0.39196496260793584,141.09622136185018,-3.549250732641667,26.763262843046988,-13.557398080825806,3.3637626908796783,"Bryce Harper",11579,547180
"Jazz Chisholm Jr.","NYY",133,516,19,68,55,40,0.104651162,0.296511627,0.172866521,0.297577854,0.229759299,0.310077519,0.40262582,0.31175727500320644,0.2947418212890625,98.72205635556651,5.801810189615935,5.037167501366712,9.707851886749268,3.361292490866849,"Jazz Chisholm Jr.",20454,665862
"Jake Bauers","MIL",129,518,24,82,78,10,0.166023166,0.254826254,0.223004695,0.334558823,0.269953051,0.395752895,0.492957746,0.38692598305787557,0.3773449371277935,147.08854655397474,1.7964592557400465,31.242295568577976,-15.362695217132568,3.328761480872261,"Jake Bauers",15194,641343
"Cody Bellinger","NYY",116,494,12,62,62,10,0.113360323,0.159919028,0.148148149,0.293948126,0.263888888,0.344129554,0.412037037,0.33363492599865685,0.34068776925081146,113.95507648043119,0.324011264834553,8.317866991591163,6.57839822769165,3.2974071935952103,"Cody Bellinger",15998,641355
"Freddie Freeman","LAD",138,592,16,71,66,6,0.108108108,0.167229729,0.158301158,0.342298288,0.301158301,0.378378378,0.459459459,0.36597901785110576,0.3722631825521944,132.02665161556538,-1.003238731995225,21.88498502356918,-8.738804459571838,3.294904143205602,"Freddie Freeman",5361,518692
