Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,AB,H,2B,3B,BB,SO,OPS,NameASCII,PlayerId,MLBAMID
"Hunter Goodman","COL",32,134,9,24,15,1,0.074626865,0.388059701,0.280991736,0.333333333,0.239669421,0.313432835,0.520661157,0.3607412168854161,0.31828354344223486,114.45427153203458,-1.6239904216490686,0.6526030666654652,0.42751991748809814,0.5482780892636673,121,29,7,0,10,52,0.834093992,"Hunter Goodman",29715,696100
"Iván Herrera","STL",34,156,4,21,14,1,0.173076923,0.16025641,0.166666666,0.282608695,0.25,0.416666666,0.416666666,0.3749464707154977,0.3837216025904605,140.01227882724254,-1.071163663174957,6.265563466137832,-2.9770111441612244,0.8447486373642932,120,30,8,0,27,25,0.833333332,"Ivan Herrera",20599,671056
"Trevor Larnach","MIN",27,93,1,14,9,1,0.193548387,0.182795698,0.133333333,0.350877192,0.28,0.419354838,0.413333333,0.37788131120412244,0.3455295355423637,137.28630097152342,0.6413765414617956,4.758392293745512,1.066206157207489,0.9245696983718602,75,21,5,1,18,17,0.832688171,"Trevor Larnach",21501,663616
"Brandon Marsh","PHI",30,114,4,16,18,3,0.043859649,0.210526315,0.179245283,0.3625,0.311320754,0.342105263,0.490566037,0.3631784717241923,0.3334517689932764,128.2470923330286,0.4235398340970278,4.2085154231729796,-2.9837626218795776,0.49753347445419893,106,33,7,0,5,24,0.8326713,"Brandon Marsh",20202,669016
"Bryce Harper","PHI",34,145,6,18,19,2,0.131034482,0.172413793,0.224,0.27368421,0.256,0.351724137,0.48,0.3639390307168166,0.3891886870066325,128.76257398423851,-0.4528333288617432,4.449244848745938,-7.092515230178833,0.20580159305132112,125,32,8,1,19,25,0.831724137,"Bryce Harper",11579,547180
"Bryan Reynolds","PIT",35,156,4,26,22,1,0.185897435,0.269230769,0.169354838,0.354430379,0.258064516,0.403846153,0.427419354,0.37333746235091964,0.35479751190581876,134.85726396774945,0.47327343095093966,6.864767284874701,-4.849803566932678,0.7152922038663427,124,32,5,2,29,42,0.831265507,"Bryan Reynolds",19326,668804
"Amed Rosario","NYY",21,67,4,7,14,0,0.074626865,0.19402985,0.25,0.266666666,0.266666666,0.313432835,0.516666666,0.35484443048932657,0.37272447528261127,123.70095364650457,-0.06801488483324647,1.8173304162881507,-2.56956385076046,0.16309290478446975,60,16,1,1,5,13,0.830099501,"Amed Rosario",15518,642708
"Christian Yelich","MIL",15,56,1,10,10,3,0.089285714,0.25,0.137254902,0.416666666,0.31372549,0.375,0.450980392,0.35573479533195496,0.28239559244226525,125.58646773497473,0.7724585025571287,2.4566165459556935,-1.3166039511561394,0.29912707219255463,51,16,2,1,5,14,0.825980392,"Christian Yelich",11477,592885
"Alec Burleson","STL",33,147,5,18,28,1,0.115646258,0.136054421,0.186046512,0.295238095,0.279069767,0.360544217,0.465116279,0.3612377738130504,0.39665387909987876,130.72097889687612,0.47925324039533734,5.787325993781367,-3.0937366485595703,0.7548218390088306,129,36,9,0,17,20,0.825660496,"Alec Burleson",27615,676475
"Dillon Dingler","DET",29,114,6,12,23,0,0.061403508,0.166666666,0.237623762,0.263157894,0.257425742,0.330357142,0.495049504,0.36332250971879276,0.42957024101738456,128.02091733201263,-0.7363486788235605,3.056255152793962,4.266486823558807,1.1519359144494032,101,26,6,0,7,19,0.825406646,"Dillon Dingler",27464,693307
"Shohei Ohtani","LAD",34,153,6,21,13,4,0.156862745,0.235294117,0.196721311,0.292682926,0.245901639,0.381578947,0.44262295,0.35678796735528395,0.39581706425915025,126.05281318262153,0.6552250795066357,5.340451008697181,-3.456789970397949,0.6921288133977861,122,30,6,0,24,36,0.824201897,"Shohei Ohtani",19755,660271
"Nick Kurtz","ATH",33,153,5,19,16,3,0.222222222,0.326797385,0.168067227,0.375,0.243697478,0.411764705,0.411764705,0.3703056961898036,0.3875545015271078,130.15703267533817,-1.3231996386311948,4.154904912877338,-0.5232763290405273,0.9161879468089174,119,29,5,0,34,50,0.82352941,"Nick Kurtz",35110,701762
"Oneil Cruz","PIT",33,152,9,25,28,11,0.072368421,0.34868421,0.235714286,0.358974358,0.264285714,0.322368421,0.5,0.3556268707911174,0.3589789627382419,122.85361261435482,2.0340349078178406,6.117068297482917,-1.2888351082801819,0.9881633856818721,140,37,6,0,11,53,0.822368421,"Oneil Cruz",21711,665833
"Vaughn Grissom","LAA",16,57,1,6,7,0,0.122807017,0.070175438,0.14893617,0.295454545,0.29787234,0.375,0.44680851,0.36204094120434355,0.33798531123570036,126.24053466599065,-0.1517430543899536,1.624072332714299,0.3630163222551346,0.40578221683807236,47,14,4,0,7,4,0.82180851,"Vaughn Grissom",26031,687093
"Leody Taveras","BAL",27,86,2,10,18,1,0.15116279,0.197674418,0.152777778,0.339622641,0.277777777,0.388235294,0.430555555,0.37002666347167074,0.3566811954273897,134.20183172645295,0.012964777182787657,3.5051566431808716,0.6607867181301117,0.7309442689739718,72,20,3,1,13,17,0.818790849,"Leody Taveras",18900,665750
"Jonathan Aranda","TBR",33,142,7,17,28,0,0.133802816,0.246478873,0.210084033,0.2875,0.25210084,0.352112676,0.462184873,0.3567002690430229,0.3528210776192801,122.95072251329925,-0.867531799711287,3.0017912084377887,-4.397218346595764,0.36587297000375396,119,30,4,0,19,35,0.814297549,"Jonathan Aranda",21837,666018
