Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Roansy Contreras","- - -",2,3,2,46,0,60.2,7.714286765273879,3.7087917140739806,1.4835166856295923,0.24550898203592814,0.78787879,0.445714285,0.142857142,94.85066361860795,3.8571433826369397,4.461179764602173,5.0291173946913945,4.630885281681586,-0.4047558754682541,"Roansy Contreras",22810,672710
"Darren McCaughan","- - -",0,0,2,7,0,20.2,5.225806612377985,4.354838843648321,2.1774194218241605,0.30434782608695654,0.70967742,0.337837837,0.142857142,89.43453171673943,6.532258265472482,5.189880003777333,6.8922863445222475,6.307784433852039,-0.40819312632083893,"Darren McCaughan",20038,670766
"Mike Baumann","- - -",3,1,0,57,0,58.1,8.948573095754039,4.320000804846777,1.3885716872721785,0.30303030303030304,0.6505102,0.393063583,0.125,96.69837590360093,5.554286749088714,4.718778972941614,4.82933723094907,4.689873294931226,-0.4084940366446972,"Mike Baumann",20206,657508
"Jordan Leasure","CHW",0,2,2,33,0,31.1,7.468086318659084,5.170213605225519,1.723404535075173,0.2857142857142857,0.68075117,0.357894736,0.136363636,96.25878614738807,6.319149961942301,4.770309053390638,5.815416378497932,5.449300463974536,-0.4197940528392792,"Jordan Leasure",29950,673929
"Génesis Cabrera","TOR",3,3,2,69,0,62.2,7.180852666598773,4.164894546627289,1.4361705333197545,0.29444444444444445,0.7875,0.427807486,0.142857142,96.04533192334254,3.5904263332993867,4.329186410951043,5.129246173826793,4.7437235628130665,-0.4374055564403534,"Genesis Cabrera",17490,650893
"Victor González","NYY",2,1,2,27,0,23.1,4.242858414553031,5.014287217199036,1.1571432039690084,0.14925373134328357,0.68548387,0.550724637,0.115384615,,3.857144013230028,5.305465448299643,5.952194898955927,5.965575698470868,-0.43822619318962097,"Victor Gonzalez",16408,624647
"Wandy Peralta","SDP",3,2,0,46,0,38.1,5.165218590662754,3.052174621755263,1.40869597927166,0.23275862068965517,0.75117371,0.529411764,0.166666666,95.571787109375,3.991305274603037,5.246207000406195,5.4621324852510185,4.847322845727306,-0.46077778935432434,"Wandy Peralta",14295,593974
"Giovanny Gallegos","STL",2,1,1,21,0,20.2,9.145164103712299,4.354840049386809,2.612904029632085,0.3157894736842105,0.7421875,0.476190476,0.3,92.47981219103107,6.532260074080213,4.730403852345589,6.360029147840121,4.049068830021443,-0.4656780958175659,"Giovanny Gallegos",14986,606149
"Jordan Weems","WSN",1,1,0,41,0,41.2,7.560001153564629,5.1840007910157455,1.5120002307129259,0.328125,0.61349693,0.406015037,0.122807017,96.14769262749445,6.696001021728671,5.235844737693034,5.542480140838679,5.426907622915225,-0.48489534854888916,"Jordan Weems",13190,607179
"Alex Faedo","DET",5,2,0,31,0,49,8.081633911387216,3.4897964617353887,1.6530614818746578,0.25757575757575757,0.81712062,0.391304347,0.183673469,94.1582957915146,3.8571434577075348,4.485743315993593,5.04403109103632,4.168284258861899,-0.4882563054561615,"Alex Faedo",19874,656412
"Zack Kelly","BOS",6,3,0,46,0,49,9.367348397289728,4.224490453679681,1.8367349798607309,0.25984251968503935,0.68518519,0.463235294,0.208333333,96.63142292490119,4.591837449651827,4.61231098533771,5.268520921908188,4.09661060675887,-0.5293115377426147,"Zack Kelly",20349,677161
"Erasmo Ramírez","TBR",3,0,1,13,0,20.2,6.532258868341614,4.3548392455610765,2.1774196227805382,0.12962962962962962,0.6875,0.372881355,0.15625,91.87643432617188,4.3548392455610765,4.267252188592063,6.456802763824831,5.652815680975872,-0.5322167277336121,"Erasmo Ramirez",10314,541640
"George Soriano","MIA",1,1,1,22,0,29.1,8.897728815551899,3.9886370552474033,2.1477276451332172,0.2564102564102564,0.61403509,0.261904761,0.189189189,94.27141367364253,6.750001170418682,6.7634322920221415,6.030116638467417,4.8350361254577106,-0.5495513081550598,"George Soriano",21863,666277
"Cole Irvin","- - -",0,2,1,13,0,27,6.333334004437553,2.6666669492368644,2.6666669492368644,0.32967032967032966,0.57065217,0.353535353,0.16,92.1320860489555,8.333334216365202,6.906818179609166,6.722035710605615,5.670199314374699,-0.5932454317808151,"Cole Irvin",19244,608344
"Bryce Jarvis","ARI",1,2,0,44,0,59.1,5.76404543793457,5.00561840662739,0.9101124375686164,0.26136363636363635,0.79656863,0.434065934,0.089552238,95.7727435530086,3.185393531490157,5.368241411255191,5.121536125659415,5.514309696692248,-0.5941861867904663,"Bryce Jarvis",27477,686826
"Scott McGough","ARI",1,3,0,24,0,29.2,6.6741583046025506,6.067416640547774,1.5168541601369434,0.3,0.54347826,0.389473684,0.125,93.2075065351711,7.584270800684717,5.496963205232534,5.9979408772120895,5.84559263802732,-0.6036257147789001,"Scott McGough",12056,543518
"Zach Pop","TOR",2,4,1,58,0,48.1,6.144829687783759,3.537932244481558,1.6758626421228435,0.2465753424657534,0.56179775,0.546052631,0.214285714,,5.586208807076145,4.661839243054823,5.525101274610834,4.418294407688244,-0.6273666024208069,"Zach Pop",20185,647315
