Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"Ethan Roberts","CHC",20,61,5.4,17,3,0,8,8,2,5,0,0,11,0.303571428,0.360655737,0.464285714,0.3588318482774203,24930
2024,"Austin Warren","SFG",6,21,3.6,4,0,0,2,2,1,3,0,0,5,0.222222222,0.333333333,0.388888888,0.3220064469746181,24937
2024,"Reese Olson","DET",22,212,3.5,44,12,0,24,21,2,9,0,0,42,0.22,0.25,0.31,0.2443682722887903,24968
2024,"Cooper Criswell","BOS",26,213,4.74324324,54,13,0,29,26,8,13,0,4,34,0.282722513,0.33490566,0.47643979,0.3473613655792092,24975
2024,"Shawn Dubin","HOU",28,91,5.22580645,19,5,0,14,12,2,9,0,2,21,0.246753246,0.329670329,0.389610389,0.3142257359001663,24977
2024,"Erik Sabrowski","CLE",8,34,0,4,1,0,0,0,0,4,0,0,16,0.133333333,0.235294117,0.166666666,0.195767681388294,24978
2024,"Kody Funderburk","MIN",26,97,7.71428571,26,6,0,19,18,4,6,0,3,13,0.309523809,0.364583333,0.523809523,0.3763318018366893,24993
2024,"Alex Vesia","LAD",64,158,2.09482759,20,5,0,13,9,4,23,3,0,53,0.150375939,0.27388535,0.278195488,0.24644225564869968,25007
2024,"Jacob Lopez","TBR",4,29,5.14285714,2,0,0,4,4,2,4,0,1,4,0.083333333,0.24137931,0.333333333,0.2612392100794562,25098
2024,"Tim Herrin","CLE",69,156,2.11304348,26,7,0,12,9,2,20,1,1,39,0.19402985,0.301282051,0.291044776,0.26892324532231976,25139
2024,"Roddery Munoz","MIA",18,193,4.63432836,40,5,1,26,23,10,21,0,2,37,0.23668639,0.32642487,0.455621301,0.3390229838499751,25311
2024,"Abner Uribe","MIL",14,43,6.51724138,11,1,1,7,7,1,6,1,0,11,0.297297297,0.395348837,0.459459459,0.3665072506382352,25327
2024,"Nick Mears","2 Tms",51,139,6.95876289,30,11,0,27,25,4,14,0,0,42,0.245901639,0.316546762,0.434426229,0.32281181838015,25376
2024,"Brady Singer","KCR",30,343,2.73033708,67,8,2,28,27,7,15,0,4,79,0.208074534,0.252199413,0.310559006,0.2488736866855901,25377
2024,"Sam Long","KCR",42,102,4.32,19,4,0,14,12,3,12,1,0,26,0.21590909,0.306930693,0.363636363,0.2932758432626724,25379
2024,"Drew Rasmussen","TBR",16,53,4.76470588,16,3,0,6,6,0,3,0,0,13,0.32,0.358490566,0.38,0.32628244948836993,25385
2024,"Jhony Brito","SDP",26,103,2.82089552,35,2,0,9,7,1,4,0,0,11,0.357142857,0.378640776,0.408163265,0.344949213046472,25386
2024,"Ryan Zeferjahn","LAA",12,41,2.53125,6,1,0,3,3,0,4,1,1,8,0.171428571,0.268292682,0.2,0.21126459687948226,25420
2024,"George Kirby","SEA",33,422,3.01863354,95,19,1,42,36,10,8,0,5,91,0.233990147,0.256532066,0.359605911,0.26685438869684724,25436
2024,"Brandon Williamson","CIN",4,47,2.13157895,6,1,0,4,3,2,4,0,0,10,0.142857142,0.212765957,0.309523809,0.22883666703041564,25463
2024,"Joe La Sorsa","WSN",14,49,4.5,11,0,0,6,6,3,3,1,0,9,0.25,0.291666666,0.454545454,0.310229369934569,25481
2024,"Matt Waldron","SDP",27,302,5.5733945,70,11,1,47,45,10,14,0,7,66,0.250896057,0.301324503,0.405017921,0.307603360209244,25550
2024,"Brady Basso","OAK",6,68,4.69565217,20,1,0,8,8,3,4,0,0,13,0.3125,0.352941176,0.46875,0.3568702007041258,25582
2024,"Sammy Peralta","CHW",8,43,3.72413793,11,1,0,5,4,1,4,0,0,6,0.282051282,0.348837209,0.384615384,0.32548782575962154,25589
2024,"Xzavion Curry","2 Tms",16,92,2.7,18,7,0,7,7,2,5,0,0,15,0.209302325,0.25,0.360465116,0.2637108175650887,25595
2024,"Hunter Gaddis","CLE",72,139,1.17391304,21,8,0,7,5,1,7,0,0,33,0.160305343,0.201438848,0.244274809,0.19776707801887458,25636
2024,"Declan Cronin","MIA",56,191,3.6,44,8,0,22,18,0,15,0,3,49,0.255813953,0.326315789,0.302325581,0.2856562714827688,25645
2024,"Justin Slaten","BOS",43,119,4.08139535,29,2,1,14,13,2,1,0,1,27,0.252173913,0.260504201,0.339130434,0.25855800183881233,25648
2024,"Nick Avila","SFG",8,29,11.81250001,10,4,1,8,7,2,3,0,0,5,0.4,0.448275862,0.88,0.5317047957716317,25667
2024,"Kevin Kelly","TBR",67,171,2.109375,37,5,1,11,10,4,6,1,3,42,0.23125,0.272189349,0.35,0.2706726303412801,25679
2024,"Noah Davis","COL",9,54,6.96774194,21,3,0,10,8,2,3,0,0,8,0.411764705,0.444444444,0.588235294,0.4451356320469468,25862
2024,"Hunter Brown","HOU",31,333,3.70353982,85,6,0,33,31,8,23,0,5,76,0.278688524,0.339339339,0.37704918,0.31824622408405795,25880
2024,"Bryan King","HOU",26,63,3.6,11,4,0,6,6,1,6,0,2,13,0.203703703,0.301587301,0.333333333,0.2846480683674888,25890
2024,"Yennier Cano","BAL",69,164,2.49579832,32,4,0,12,11,3,17,0,1,53,0.219178082,0.304878048,0.308219178,0.27832195053740244,25911
2024,"Zack Thompson","STL",5,58,10.96875,17,3,0,13,13,5,8,0,1,17,0.346938775,0.448275862,0.714285714,0.4858625531196594,25918
2024,"Casey Legumina","CIN",6,29,2.7,8,1,0,3,2,1,0,0,0,5,0.275862068,0.275862068,0.413793103,0.29635591342531403,25921
2024,"Darius Vines","ATL",4,41,12.96000001,13,3,0,13,12,3,3,0,1,6,0.371428571,0.414634146,0.714285714,0.46028611863531715,25928
2024,"Andrew Nardi","MIA",56,133,6.37078652,31,8,2,22,21,5,14,1,1,38,0.267241379,0.348484848,0.5,0.3606847588342565,25942
2024,"Quinn Priester","2 Tms",11,112,2.85882353,25,4,0,12,9,3,2,0,2,24,0.231481481,0.258928571,0.351851851,0.26657192941222874,25977
2024,"Anthony Maldonado","MIA",16,44,7.2,13,3,0,8,8,1,3,1,0,6,0.31707317,0.363636363,0.463414634,0.35178156647571296,26034
2024,"Easton Lucas","3 Tms",8,38,8.64,8,2,1,9,8,0,5,0,1,8,0.258064516,0.368421052,0.387096774,0.33350524933714615,26058
2024,"Beau Brieske","DET",43,138,4.00990099,29,8,0,17,15,3,11,0,2,34,0.237704918,0.306569343,0.37704918,0.29982494307260443,26079
2024,"Andre Pallante","STL",27,270,5.01639344,65,15,0,37,34,6,24,0,2,49,0.267489711,0.338289962,0.403292181,0.3267254696459575,26108
2024,"Caleb Kilian","CHC",2,29,4.2631579,6,1,0,3,3,1,4,0,0,5,0.25,0.357142857,0.416666666,0.34240796310561045,26213
2024,"Ryan Pepiot","TBR",25,221,3.71856287,44,7,0,27,23,7,13,0,2,56,0.215686274,0.266968325,0.352941176,0.2713973093356482,26221
2024,"Nick Robertson","2 Tms",9,31,3.24,7,0,0,3,3,2,1,0,0,10,0.233333333,0.258064516,0.433333333,0.2966744015293737,26226
2024,"Tyler Holton","DET",64,207,2.48466258,36,6,1,16,15,4,12,1,0,46,0.186528497,0.233009708,0.29015544,0.2289669996354638,26231
2024,"Erik Miller","SFG",70,176,5.04878049,35,4,2,27,23,7,23,0,0,47,0.230263157,0.329545454,0.421052631,0.3283665935424241,26252
2024,"Ryne Nelson","ARI",28,316,4.37837838,85,18,5,37,36,7,14,0,3,68,0.288135593,0.32278481,0.454237288,0.33284602361389354,26253
2024,"Joey Estes","OAK",25,291,4.6097561,75,19,1,36,35,12,9,0,8,51,0.276752767,0.316151202,0.48708487,0.34328862891574086,26257
2024,"Hunter Bigge","2 Tms",18,34,2.34782609,8,1,0,2,2,1,4,0,0,7,0.266666666,0.352941176,0.4,0.33384836421293373,26259
2024,"Blake Walston","ARI",7,66,4.90909091,12,1,0,8,8,3,8,0,3,16,0.218181818,0.348484848,0.4,0.3353119230631626,26270
2024,"Tommy Henry","ARI",9,127,7,33,8,1,22,21,7,15,0,0,21,0.302752293,0.38095238,0.587155963,0.40713331529072355,26285
2024,"Bryan Hoeing","2 Tms",32,137,2.7,34,4,1,10,10,3,8,0,0,26,0.263565891,0.306569343,0.379844961,0.30068649688776394,26304
2024,"Nick Lodolo","CIN",21,401,5.51408451,80,24,0,58,58,13,28,0,16,100,0.224719101,0.309226932,0.401685393,0.3129275429278538,26378
2024,"DJ Herz","WSN",19,290,3.53883495,57,9,1,31,27,8,28,0,1,83,0.219230769,0.297577854,0.353846153,0.28954803448647365,26389
2024,"Alek Manoah","TOR",5,46,0.81818182,4,1,0,2,1,0,5,0,2,11,0.105263157,0.239130434,0.131578947,0.19099165045696756,26410
2024,"Porter Hodge","CHC",38,98,1.6875,9,3,0,5,5,1,12,0,1,27,0.105882352,0.224489795,0.176470588,0.1960333038349541,26413
2024,"Bradley Blalock","2 Tms",7,60,2.18918919,13,3,0,4,3,1,8,0,1,8,0.25490196,0.366666666,0.372549019,0.33302639524141947,26419
2024,"Sam Aldegheri","LAA",3,57,4.76470588,14,3,0,11,6,2,6,0,2,10,0.291666666,0.385964912,0.479166666,0.37496711183012577,26443
2024,"Angel Chivilli","COL",29,66,6.06122449,16,1,0,11,11,5,3,0,1,16,0.258064516,0.303030303,0.516129032,0.3501089829387087,26790
2024,"Anthony Molina","COL",34,149,6.88235294,44,12,0,27,26,3,6,0,2,22,0.316546762,0.348993288,0.467625899,0.3513219192524084,26952
2024,"Alec Marsh","KCR",26,239,4.92352941,53,6,3,34,31,10,21,1,1,62,0.247663551,0.31512605,0.443925233,0.32604844887045364,27451
2024,"Anthony Veneziano","2 Tms",12,33,2.7,11,2,1,3,2,0,1,0,1,8,0.366666666,0.393939393,0.5,0.3806608698584817,27453
2024,"Garrett Crochet","CHW",31,494,3.67847411,100,23,0,53,50,17,25,0,5,167,0.216450216,0.263157894,0.376623376,0.2781933616047446,27463
2024,"Reid Detmers","LAA",17,286,5.98453608,76,15,1,44,43,13,25,0,0,78,0.293436293,0.353146853,0.509652509,0.3696511041867983,27468
2024,"Emerson Hancock","SEA",12,139,5.72727273,34,4,1,25,21,10,6,0,4,23,0.265625,0.316546762,0.546875,0.3659845997961305,27470
2024,"Jared Shuster","CHW",38,202,4.16911765,42,8,0,23,21,5,27,0,0,33,0.242774566,0.341584158,0.375722543,0.3191077461337099,27472
2024,"Max Meyer","MIA",11,123,4.55421687,32,8,1,15,14,7,7,0,3,22,0.28318584,0.341463414,0.557522123,0.3826391648470871,27474
2024,"Bryce Jarvis","ARI",44,161,3.02586207,32,5,0,16,13,5,17,1,4,27,0.231884057,0.329192546,0.376811594,0.31140488386154175,27477
2024,"Bobby Miller","LAD",13,135,8.49438202,36,5,0,28,28,8,16,0,2,24,0.307692307,0.4,0.555555555,0.4104810471887942,27483
2024,"Landon Knack","LAD",15,136,4.68367347,29,4,0,17,17,8,8,0,1,32,0.23015873,0.279411764,0.452380952,0.313507302719004,27487
2024,"Spencer Strider","ATL",2,21,5.78571428,4,1,0,3,3,0,3,0,0,7,0.222222222,0.333333333,0.277777777,0.28414144970121835,27498
2024,"Slade Cecconi","ARI",20,174,6.69230769,53,14,0,29,29,9,7,0,1,38,0.321212121,0.350574712,0.569696969,0.39082858754300526,27500
