Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Heliot Ramos","SFG",157,695,21,85,69,6,0.074820143,0.227338129,0.143548388,0.308724832,0.256451612,0.328057553,0.4,0.318876088267625,0.32033544354930155,106.41887827038718,-2.587763302028179,2.6995877965099595,-15.114742755889893,1.0955280468653217,"Heliot Ramos",22515,671218
"Ramón Urías","- - -",112,391,11,33,44,3,0.069053708,0.225063938,0.142045455,0.281368821,0.241477272,0.291560102,0.383522727,0.2918309205023529,0.2900964505296653,86.79509479905066,-1.6686441637575626,-7.753980966724786,4.8961547911167145,1.084487933926182,"Ramon Urias",18795,602104
"Bryan Reynolds","PIT",154,654,16,68,73,3,0.087155963,0.264525993,0.156729132,0.319201995,0.245315161,0.318042813,0.402044293,0.3146605150257829,0.3375106998747843,99.2542017197389,0.48808425292372704,-0.09000291825098516,-11.086689710617065,1.0826757896286714,"Bryan Reynolds",19326,668804
"Gabriel Arias","CLE",129,471,11,44,54,8,0.05732484,0.343949044,0.143518518,0.319391634,0.219907407,0.274468085,0.363425925,0.2776332849632702,0.286237606870086,76.97953615359889,0.2836197204887867,-12.495694597282878,6.8521270751953125,1.0811861693936293,"Gabriel Arias",22563,672356
"Jahmai Jones","DET",72,150,7,21,23,2,0.12,0.213333333,0.263565891,0.333333333,0.286821705,0.386666666,0.550387596,0.3988108642949354,0.39949191816701185,159.01890974601318,0.774476658552885,11.208577181800091,-5.863161563873291,1.0751174862320265,"Jahmai Jones",18872,663330
"Alex Jackson","BAL",37,100,5,17,8,0,0.05,0.37,0.252747253,0.306122448,0.219780219,0.29,0.472527472,0.32725711703300475,0.26964153289794923,111.42336170267568,0.2360215187072754,1.582397957852777,5.457010865211487,1.0723626672233741,"Alex Jackson",17276,656577
"Noelvi Marte","CIN",90,360,14,45,51,10,0.044444444,0.236111111,0.185840708,0.309917355,0.262536873,0.3,0.448377581,0.3211678052941958,0.3043151812606983,100.71532062187597,1.1837047394365072,1.4889138209831523,-3.1300588846206665,1.0575167358956155,"Noelvi Marte",26517,682622
"Blaze Alexander","ARI",74,266,7,31,28,4,0.082706766,0.32330827,0.152173913,0.333333333,0.230434782,0.323193916,0.382608695,0.31340044510228554,0.3030660928894277,99.29029533222675,-1.0458079408854246,-1.2695530259181789,2.6653480529785156,1.0482612612121815,"Blaze Alexander",23789,677942
"Nick Fortes","- - -",97,242,5,19,21,1,0.057851239,0.194214876,0.119266055,0.269461077,0.229357798,0.295833333,0.348623853,0.2860824043552081,0.2703235228856405,80.41164724203314,0.09965506196022034,-5.509924770068186,7.4788790345191964,1.0370718196164304,"Nick Fortes",21538,663743
"Andrés Giménez","TOR",101,369,7,39,35,12,0.067750677,0.178861788,0.103343465,0.239382239,0.209726443,0.285326086,0.313069908,0.26894045556369034,0.30762016838365563,70.41048581817422,1.2017487846314907,-11.667013416674068,9.099353432655334,1.0367040961872205,"Andres Gimenez",19950,665926
